"date","rate","reverseRate","isoCode","wasMissing"
"2022-07-11T00:00:00.000Z","1.4094","70.9522","JPY",
"2022-07-10T00:00:00.000Z","1.41675","70.5841","JPY",1
"2022-07-09T00:00:00.000Z","1.41675","70.5841","JPY",1
"2022-07-08T00:00:00.000Z","1.41675","70.5841","JPY",
"2022-07-07T00:00:00.000Z","1.41614","70.6145","JPY",
"2022-07-06T00:00:00.000Z","1.42025","70.4101","JPY",
"2022-07-05T00:00:00.000Z","1.39932","71.4633","JPY",
"2022-07-04T00:00:00.000Z","1.38211","72.3531","JPY",
"2022-07-03T00:00:00.000Z","1.38662","72.1178","JPY",1
"2022-07-02T00:00:00.000Z","1.38662","72.1178","JPY",1
"2022-07-01T00:00:00.000Z","1.38662","72.1178","JPY",
"2022-06-30T00:00:00.000Z","1.38182","72.3683","JPY",
"2022-06-29T00:00:00.000Z","1.36266","73.3859","JPY",
"2022-06-28T00:00:00.000Z","1.36134","73.457","JPY",
"2022-06-27T00:00:00.000Z","1.36533","73.2424","JPY",
"2022-06-26T00:00:00.000Z","1.3755","72.7008","JPY",1
"2022-06-25T00:00:00.000Z","1.3755","72.7008","JPY",1
"2022-06-24T00:00:00.000Z","1.3755","72.7008","JPY",
"2022-06-23T00:00:00.000Z","1.37628","72.6596","JPY",
"2022-06-22T00:00:00.000Z","1.36666","73.1711","JPY",
"2022-06-21T00:00:00.000Z","1.36058","73.49821","JPY",
"2022-06-20T00:00:00.000Z","1.37793","72.5726","JPY",
"2022-06-19T00:00:00.000Z","1.38505","72.1996","JPY",1
"2022-06-18T00:00:00.000Z","1.38505","72.1996","JPY",1
"2022-06-17T00:00:00.000Z","1.38505","72.1996","JPY",
"2022-06-16T00:00:00.000Z","1.41481","70.6809","JPY",
"2022-06-15T00:00:00.000Z","1.39215","71.8313","JPY",
"2022-06-14T00:00:00.000Z","1.39086","71.898","JPY",
"2022-06-13T00:00:00.000Z","1.39195","71.8417","JPY",
"2022-06-12T00:00:00.000Z","1.38036","72.4449","JPY",1
"2022-06-11T00:00:00.000Z","1.38036","72.4449","JPY",1
"2022-06-10T00:00:00.000Z","1.38036","72.4449","JPY",
"2022-06-09T00:00:00.000Z","1.35888","73.59","JPY",
"2022-06-08T00:00:00.000Z","1.35897","73.5851","JPY",
"2022-06-07T00:00:00.000Z","1.38065","72.4297","JPY",
"2022-06-06T00:00:00.000Z","1.39543","71.6625","JPY",
"2022-06-05T00:00:00.000Z","1.40112","71.3715","JPY",1
"2022-06-04T00:00:00.000Z","1.40112","71.3715","JPY",1
"2022-06-03T00:00:00.000Z","1.40112","71.3715","JPY",
"2022-06-02T00:00:00.000Z","1.40991","70.9265","JPY",
"2022-06-01T00:00:00.000Z","1.41032","70.9059","JPY",
"2022-05-31T00:00:00.000Z","1.42387","70.2311","JPY",
"2022-05-30T00:00:00.000Z","1.42501","70.1749","JPY",
"2022-05-29T00:00:00.000Z","1.43758","69.5613","JPY",1
"2022-05-28T00:00:00.000Z","1.43758","69.5613","JPY",1
"2022-05-27T00:00:00.000Z","1.43758","69.5613","JPY",
"2022-05-26T00:00:00.000Z","1.43864","69.5101","JPY",
"2022-05-25T00:00:00.000Z","1.44512","69.1984","JPY",
"2022-05-24T00:00:00.000Z","1.43758","69.5613","JPY",1
"2022-05-23T00:00:00.000Z","1.43758","69.5613","JPY",
"2022-05-22T00:00:00.000Z","1.44512","69.1984","JPY",1
"2022-05-21T00:00:00.000Z","1.44512","69.1984","JPY",1
"2022-05-20T00:00:00.000Z","1.44512","69.1984","JPY",
"2022-05-19T00:00:00.000Z","1.45458","68.7484","JPY",
"2022-05-18T00:00:00.000Z","1.44065","69.4131","JPY",
"2022-05-17T00:00:00.000Z","1.43473","69.6995","JPY",
"2022-05-16T00:00:00.000Z","1.44866","69.0293","JPY",
"2022-05-15T00:00:00.000Z","1.46056","68.4669","JPY",1
"2022-05-14T00:00:00.000Z","1.46056","68.4669","JPY",1
"2022-05-13T00:00:00.000Z","1.46056","68.4669","JPY",
"2022-05-12T00:00:00.000Z","1.46121","68.4364","JPY",
"2022-05-11T00:00:00.000Z","1.42688","70.083","JPY",
