"date","rate","reverseRate","isoCode","wasMissing"
"2022-03-01T00:00:00.000Z","1.66878","59.924","RUB",
"2022-02-28T00:00:00.000Z","1.69359","59.0462","RUB",
"2022-02-27T00:00:00.000Z","2.11287","47.329","RUB",1
"2022-02-26T00:00:00.000Z","2.11287","47.329","RUB",1
"2022-02-25T00:00:00.000Z","2.11287","47.329","RUB",
"2022-02-24T00:00:00.000Z","2.04334","48.9395","RUB",
"2022-02-23T00:00:00.000Z","2.15212","46.4658","RUB",
"2022-02-22T00:00:00.000Z","2.17785","45.9168","RUB",
"2022-02-21T00:00:00.000Z","2.19543","45.5492","RUB",
"2022-02-20T00:00:00.000Z","2.2668","44.1151","RUB",1
"2022-02-19T00:00:00.000Z","2.2668","44.1151","RUB",1
"2022-02-18T00:00:00.000Z","2.2668","44.1151","RUB",
"2022-02-17T00:00:00.000Z","2.26401","44.1694","RUB",
"2022-02-16T00:00:00.000Z","2.29106","43.6479","RUB",
"2022-02-15T00:00:00.000Z","2.28745","43.7168","RUB",
"2022-02-14T00:00:00.000Z","2.26506","44.1489","RUB",
"2022-02-13T00:00:00.000Z","2.27806","43.897","RUB",1
"2022-02-12T00:00:00.000Z","2.27806","43.897","RUB",1
"2022-02-11T00:00:00.000Z","2.27806","43.897","RUB",
"2022-02-10T00:00:00.000Z","2.30047","43.4694","RUB",
"2022-02-09T00:00:00.000Z","2.28675","43.7302","RUB",
"2022-02-08T00:00:00.000Z","2.28006","43.8585","RUB",
"2022-02-07T00:00:00.000Z","2.25892","44.2689","RUB",
"2022-02-06T00:00:00.000Z","2.24011","44.6407","RUB",1
"2022-02-05T00:00:00.000Z","2.24011","44.6407","RUB",1
"2022-02-04T00:00:00.000Z","2.24011","44.6407","RUB",
"2022-02-03T00:00:00.000Z","2.2695","44.0626","RUB",
"2022-02-02T00:00:00.000Z","2.27912","43.8766","RUB",
"2022-02-01T00:00:00.000Z","2.26569","44.1367","RUB",
"2022-01-31T00:00:00.000Z","2.25521","44.3418","RUB",
"2022-01-30T00:00:00.000Z","2.25817","44.2836","RUB",1
"2022-01-29T00:00:00.000Z","2.25817","44.2836","RUB",1
"2022-01-28T00:00:00.000Z","2.25817","44.2836","RUB",
"2022-01-27T00:00:00.000Z","2.24449","44.5536","RUB",
"2022-01-26T00:00:00.000Z","2.19104","45.6404","RUB",
"2022-01-25T00:00:00.000Z","2.20404","45.3712","RUB",
"2022-01-24T00:00:00.000Z","2.20626","45.3256","RUB",
"2022-01-23T00:00:00.000Z","2.25227","44.3997","RUB",1
"2022-01-22T00:00:00.000Z","2.25227","44.3997","RUB",1
"2022-01-21T00:00:00.000Z","2.25227","44.3997","RUB",
"2022-01-20T00:00:00.000Z","2.25079","44.4288","RUB",
"2022-01-19T00:00:00.000Z","2.2616","44.2165","RUB",
"2022-01-18T00:00:00.000Z","2.25501","44.3457","RUB",
"2022-01-17T00:00:00.000Z","2.23803","44.6822","RUB",
"2022-01-16T00:00:00.000Z","2.22251","44.9942","RUB",1
"2022-01-15T00:00:00.000Z","2.22251","44.9942","RUB",1
"2022-01-14T00:00:00.000Z","2.22251","44.9942","RUB",
"2022-01-13T00:00:00.000Z","2.25839","44.2793","RUB",
"2022-01-12T00:00:00.000Z","2.3076","43.3351","RUB",
"2022-01-11T00:00:00.000Z","2.3046","43.3915","RUB",
"2022-01-10T00:00:00.000Z","2.30145","43.4509","RUB",
"2022-01-09T00:00:00.000Z","2.29294","43.6121","RUB",1
"2022-01-08T00:00:00.000Z","2.29294","43.6121","RUB",1
"2022-01-07T00:00:00.000Z","2.29294","43.6121","RUB",
"2022-01-06T00:00:00.000Z","2.26085","44.2312","RUB",
"2022-01-05T00:00:00.000Z","2.28145","43.8318","RUB",
"2022-01-04T00:00:00.000Z","2.30314","43.419","RUB",
"2022-01-03T00:00:00.000Z","2.29287","43.6135","RUB",1
"2022-01-02T00:00:00.000Z","2.29287","43.6135","RUB",1
"2022-01-01T00:00:00.000Z","2.29287","43.6135","RUB",1
"2021-12-31T00:00:00.000Z","2.29287","43.6135","RUB",
"2021-12-30T00:00:00.000Z","2.30399","43.403","RUB",
"2021-12-29T00:00:00.000Z","2.33989","42.7371","RUB",
"2021-12-28T00:00:00.000Z","2.34972","42.5583","RUB",1
"2021-12-27T00:00:00.000Z","2.34972","42.5583","RUB",1
"2021-12-26T00:00:00.000Z","2.34972","42.5583","RUB",1
"2021-12-25T00:00:00.000Z","2.34972","42.5583","RUB",1
"2021-12-24T00:00:00.000Z","2.34972","42.5583","RUB",1
"2021-12-23T00:00:00.000Z","2.34972","42.5583","RUB",
"2021-12-22T00:00:00.000Z","2.34401","42.6619","RUB",
"2021-12-21T00:00:00.000Z","2.33955","42.7433","RUB",
"2021-12-20T00:00:00.000Z","2.33979","42.7389","RUB",
"2021-12-19T00:00:00.000Z","2.33712","42.7877","RUB",1
"2021-12-18T00:00:00.000Z","2.33712","42.7877","RUB",1
