"date","rate","reverseRate","isoCode","wasMissing"
"2022-07-11T00:00:00.000Z","1.13954","8.77547","ZAR",
"2022-07-10T00:00:00.000Z","1.13763","8.7902","ZAR",1
"2022-07-09T00:00:00.000Z","1.13763","8.7902","ZAR",1
"2022-07-08T00:00:00.000Z","1.13763","8.7902","ZAR",
"2022-07-07T00:00:00.000Z","1.14798","8.71095","ZAR",
"2022-07-06T00:00:00.000Z","1.14883","8.70451","ZAR",
"2022-07-05T00:00:00.000Z","1.15632","8.64813","ZAR",
"2022-07-04T00:00:00.000Z","1.14863","8.70602","ZAR",
"2022-07-03T00:00:00.000Z","1.1416","8.75964","ZAR",1
"2022-07-02T00:00:00.000Z","1.1416","8.75964","ZAR",1
"2022-07-01T00:00:00.000Z","1.1416","8.75964","ZAR",
"2022-06-30T00:00:00.000Z","1.14952","8.69928","ZAR",
"2022-06-29T00:00:00.000Z","1.15528","8.65591","ZAR",
"2022-06-28T00:00:00.000Z","1.1568","8.64454","ZAR",
"2022-06-27T00:00:00.000Z","1.16441","8.58804","ZAR",
"2022-06-26T00:00:00.000Z","1.1702","8.54555","ZAR",1
"2022-06-25T00:00:00.000Z","1.1702","8.54555","ZAR",1
"2022-06-24T00:00:00.000Z","1.1702","8.54555","ZAR",
"2022-06-23T00:00:00.000Z","1.16301","8.59838","ZAR",
"2022-06-22T00:00:00.000Z","1.16429","8.58893","ZAR",
"2022-06-21T00:00:00.000Z","1.16501","8.58362","ZAR",
"2022-06-20T00:00:00.000Z","1.16002","8.62054","ZAR",
"2022-06-19T00:00:00.000Z","1.17022","8.5454","ZAR",1
"2022-06-18T00:00:00.000Z","1.17022","8.5454","ZAR",1
"2022-06-17T00:00:00.000Z","1.17022","8.5454","ZAR",
"2022-06-16T00:00:00.000Z","1.17784","8.49012","ZAR",
"2022-06-15T00:00:00.000Z","1.17038","8.54423","ZAR",
"2022-06-14T00:00:00.000Z","1.16447","8.5876","ZAR",
"2022-06-13T00:00:00.000Z","1.1637","8.59328","ZAR",
"2022-06-12T00:00:00.000Z","1.18385","8.44702","ZAR",1
"2022-06-11T00:00:00.000Z","1.18385","8.44702","ZAR",1
"2022-06-10T00:00:00.000Z","1.18385","8.44702","ZAR",
"2022-06-09T00:00:00.000Z","1.19162","8.39194","ZAR",
"2022-06-08T00:00:00.000Z","1.18804","8.41723","ZAR",
"2022-06-07T00:00:00.000Z","1.19215","8.38821","ZAR",
"2022-06-06T00:00:00.000Z","1.19155","8.39243","ZAR",
"2022-06-05T00:00:00.000Z","1.17713","8.49524","ZAR",1
"2022-06-04T00:00:00.000Z","1.17713","8.49524","ZAR",1
"2022-06-03T00:00:00.000Z","1.17713","8.49524","ZAR",
"2022-06-02T00:00:00.000Z","1.1772","8.49473","ZAR",
"2022-06-01T00:00:00.000Z","1.17757","8.49206","ZAR",
"2022-05-31T00:00:00.000Z","1.16801","8.56157","ZAR",
"2022-05-30T00:00:00.000Z","1.17481","8.51201","ZAR",
"2022-05-29T00:00:00.000Z","1.16794","8.56208","ZAR",1
"2022-05-28T00:00:00.000Z","1.16794","8.56208","ZAR",1
"2022-05-27T00:00:00.000Z","1.16794","8.56208","ZAR",
"2022-05-26T00:00:00.000Z","1.15516","8.65681","ZAR",
"2022-05-25T00:00:00.000Z","1.16677","8.57067","ZAR",
"2022-05-24T00:00:00.000Z","1.1681","8.56091","ZAR",1
"2022-05-23T00:00:00.000Z","1.1681","8.56091","ZAR",
"2022-05-22T00:00:00.000Z","1.17024","8.54526","ZAR",1
"2022-05-21T00:00:00.000Z","1.17024","8.54526","ZAR",1
"2022-05-20T00:00:00.000Z","1.17024","8.54526","ZAR",
"2022-05-19T00:00:00.000Z","1.16201","8.60578","ZAR",
"2022-05-18T00:00:00.000Z","1.16896","8.55461","ZAR",
"2022-05-17T00:00:00.000Z","1.16114","8.61223","ZAR",
"2022-05-16T00:00:00.000Z","1.15596","8.65082","ZAR",
"2022-05-15T00:00:00.000Z","1.16565","8.5789","ZAR",1
"2022-05-14T00:00:00.000Z","1.16565","8.5789","ZAR",1
"2022-05-13T00:00:00.000Z","1.16565","8.5789","ZAR",
"2022-05-12T00:00:00.000Z","1.15863","8.63088","ZAR",
"2022-05-11T00:00:00.000Z","1.15542","8.65486","ZAR",
"2022-05-10T00:00:00.000Z","1.15015","8.69452","ZAR",
"2022-05-09T00:00:00.000Z","1.14154","8.7601","ZAR",
"2022-05-08T00:00:00.000Z","1.17919","8.4804","ZAR",1
"2022-05-07T00:00:00.000Z","1.17919","8.4804","ZAR",1
"2022-05-06T00:00:00.000Z","1.17919","8.4804","ZAR",1
"2022-05-05T00:00:00.000Z","1.17919","8.4804","ZAR",
"2022-05-04T00:00:00.000Z","1.17475","8.51245","ZAR",
"2022-05-03T00:00:00.000Z","1.16209","8.60519","ZAR",
"2022-05-02T00:00:00.000Z","1.17486","8.51165","ZAR",1
"2022-05-01T00:00:00.000Z","1.17486","8.51165","ZAR",1
"2022-04-30T00:00:00.000Z","1.17486","8.51165","ZAR",1
"2022-04-29T00:00:00.000Z","1.17486","8.51165","ZAR",
"2022-04-28T00:00:00.000Z","1.16785","8.56274","ZAR",
"2022-04-27T00:00:00.000Z","1.16138","8.61045","ZAR",
"2022-04-26T00:00:00.000Z","1.16566","8.57883","ZAR",
"2022-04-25T00:00:00.000Z","1.17824","8.48724","ZAR",1
"2022-04-24T00:00:00.000Z","1.17824","8.48724","ZAR",1
"2022-04-23T00:00:00.000Z","1.17824","8.48724","ZAR",1
"2022-04-22T00:00:00.000Z","1.17824","8.48724","ZAR",1
"2022-04-21T00:00:00.000Z","1.17824","8.48724","ZAR",
"2022-04-20T00:00:00.000Z","1.19976","8.335","ZAR",
"2022-04-19T00:00:00.000Z","1.21934","8.20116","ZAR",
"2022-04-18T00:00:00.000Z","1.22753","8.14644","ZAR",
"2022-04-17T00:00:00.000Z","1.22753","8.14644","ZAR",1
"2022-04-16T00:00:00.000Z","1.22753","8.14644","ZAR",1
"2022-04-15T00:00:00.000Z","1.22753","8.14644","ZAR",
"2022-04-14T00:00:00.000Z","1.22753","8.14644","ZAR",
"2022-04-13T00:00:00.000Z","1.24718","8.01809","ZAR",
"2022-04-12T00:00:00.000Z","1.23404","8.10347","ZAR",
"2022-04-11T00:00:00.000Z","1.2291","8.13603","ZAR",
"2022-04-10T00:00:00.000Z","1.22264","8.17902","ZAR",1
"2022-04-09T00:00:00.000Z","1.22264","8.17902","ZAR",1
"2022-04-08T00:00:00.000Z","1.22264","8.17902","ZAR",
"2022-04-07T00:00:00.000Z","1.21843","8.20728","ZAR",
"2022-04-06T00:00:00.000Z","1.2229","8.17728","ZAR",
"2022-04-05T00:00:00.000Z","1.226","8.15661","ZAR",
"2022-04-04T00:00:00.000Z","1.21513","8.22957","ZAR",
"2022-04-03T00:00:00.000Z","1.20965","8.26685","ZAR",1
"2022-04-02T00:00:00.000Z","1.20965","8.26685","ZAR",1
"2022-04-01T00:00:00.000Z","1.20965","8.26685","ZAR",
"2022-03-31T00:00:00.000Z","1.20934","8.26897","ZAR",
"2022-03-30T00:00:00.000Z","1.21263","8.24654","ZAR",
"2022-03-29T00:00:00.000Z","1.20876","8.27294","ZAR",
"2022-03-28T00:00:00.000Z","1.22297","8.17682","ZAR",
"2022-03-27T00:00:00.000Z","1.21945","8.20042","ZAR",1
